,0
state_nan,1.266065583851535
state_CA,0.2777517720011629
emp_length,0.24071014546153202
state_TX,0.23159576854356909
state_NY,0.20275227758541958
zip3_freq,0.19070100940814216
state_FL,0.13832351756976824
state_GA,0.10166482509574805
state_NC,0.08375276740656283
state_IL,0.06468169422917941
state_NJ,0.05836311167748267
dti,0.05633855284062623
state_MD,0.04319517336290443
state_OH,0.04148584130042177
loan_amnt_requested,0.04046051300485625
state_PA,0.03906653142707382
state_VA,0.0307280229732705
state_MI,0.030521255336899263
state_AZ,0.026265227237206562
state_IN,0.025393250766466056
state_MO,0.023457537222762795
state_TN,0.02248549606553501
state_CO,0.020711148410095494
state_WA,0.017322853426652386
state_NV,0.012297664663513206
state_AR,0.011531023825760104
state_HI,0.009235419789029996
state_AL,0.009104422078924111
state_WI,0.008326516096692294
state_SC,0.007599948419071039
risk_score,0.005775800756269533
state_MA,0.005696056493632433
state_LA,0.005634928888425901
state_MN,0.0051409765441595015
state_CT,0.004542102061781583
state_KY,0.004392534176838145
state_KS,0.0036380273537060916
state_OK,0.0030133222390441496
state_UT,0.002993013503403404
state_NE,0.002960146272856395
state_DE,0.002554447086191312
state_OR,0.002133496703546822
state_MS,0.001836246185060207
state_WV,0.0012452298955776602
state_NM,0.0010741598037759658
state_DC,0.0007614861296418635
state_VT,0.0006776972855987535
state_RI,0.0006756714689771145
state_NH,0.0005346360689170188
state_ME,0.00026181658510237465
state_AK,0.0001421638861017133
state_ID,0.00013073465855224697
state_MT,0.00012169577653574831
state_WY,0.00011285522615866336
state_ND,0.00010898846112149602
state_SD,3.228106543992725e-05
state_IA,0.0
